year,device,count,Decade
1963,ELEPHANT,1,1960
1963,REARING,1,1960
1963,FIVE,1,1960
1963,ROUNDED,3,1960
1963,ENDS,1,1960
1963,COLOURED,3,1960
1963,BLUE,1,1960
1963,WHITE,3,1960
1963,GREEN,1,1960
1963,SPINNING,3,1960
1963,TOP,1,1960
1963,EDGE,1,1960
1963,MERMAID,1,1960
1963,ENDLESS-BELT,3,1960
1963,ARCS,3,1960
1963,DOTS,2,1960
1963,CASTELLATED,1,1960
1963,HEAN,1,1960
1963,RED-INDIAN,1,1960
1963,DISC-HEAD,1,1960
1963,RUNNING,1,1960
1963,CORNERS,1,1960
1963,KNEELING,1,1960
1963,WORKMAN,1,1960
1963,TRIANGLES,1,1960
1963,BATON,1,1960
1963,PIPES,1,1960
1963,ROPE,1,1960
1963,FLAG,1,1960
1963,PENNANT,1,1960
1963,STANDING,1,1960
1963,TREE,1,1960
1963,BUFFALO,1,1960
1963,WALRUS,1,1960
1963,WELDER,1,1960
1963,DIAMONDS,1,1960
1963,FIGURES,1,1960
1963,BRIDGE,1,1960
1963,HORSE'S,1,1960
1963,POODLE,1,1960
1963,SPINNING-TOP,2,1960
1963,BLUEBELL,2,1960
1963,FLOWERS,2,1960
1963,ARMOUR,1,1960
1963,PANELS,1,1960
1963,PRESCRIPTION,1,1960
1963,MOSQUE,1,1960
1963,OBLIQUE,1,1960
1963,PASSANT,2,1960
1963,WINGED,2,1960
1963,FRAME,1,1960
1963,LIONS,1,1960
1963,CONTAINING,3,1960
1963,DOUBLED,1,1960
1963,BRAKE,1,1960
1963,NAMEPLATE,1,1960
1908,X,1,1900
1908,SCENE,3,1900
1908,ORIENTAL,2,1900
1908,ELEPHANT,2,1900
1908,CARRYING,2,1900
1908,TEA,2,1900
1908,CHEST,2,1900
1908,IN,21,1900
1908,FRONT,2,1900
1908,OF,3,1900
1908,MOSQUE,2,1900
1908,WITH,4,1900
1908,INDIAN,2,1900
1908,SUN,2,1900
1908,RAYS,2,1900
1908,TEA-POT,1,1900
1908,FRAME,2,1900
1908,ORNATE,2,1900
1908,MEDALS,1,1900
1908,CURVED,1,1900
1908,ROW,1,1900
1908,TREE,3,1900
1908,PINE,4,1900
1908,STYLISED,5,1900
1908,GLOBE,2,1900
1908,MERIDIANS,2,1900
1908,MAP,1,1900
1908,AMERICAS,1,1900
1908,SCROLLS,3,1900
1908,CROSS,1,1900
1908,BOTONEE,1,1900
1908,INTERSECTING,1,1900
1908,W,1,1900
1908,CIRCLE,4,1900
1908,SHEEP,1,1900
1908,SLING,1,1900
1908,BEING,1,1900
1908,LIFTED,1,1900
1908,BY,1,1900
1908,SCROLL,1,1900
1908,THREE,2,1900
1908,CIRCLES,2,1900
1908,DIAMOND,9,1900
1908,FROGS,1,1900
1908,ON,4,1900
1908,WATERLILIES,1,1900
1908,PATTERN,2,1900
1908,DOTS,1,1900
1908,SHIELD,3,1900
1908,THISTLES,1,1900
1908,FORMING,2,1900
1908,WREATH,2,1900
1908,BIRD,2,1900
1908,PARROT,1,1900
1908,PERCHED,1,1900
1908,BRANCH,1,1900
1908,ANNULUS,9,1900
1908,BUNDLE,1,1900
1908,STICKS,1,1900
1908,MEDAL,2,1900
1908,TRIANGLE,6,1900
1908,&,1,1900
1908,RECTANGLES,1,1900
1908,OVAL,1,1900
1908,MAN,6,1900
1908,NUDE,1,1900
1908,KNEELING,1,1900
1908,CROSSBOW,1,1900
1908,FLIGHT,1,1900
1908,SILHOUETTE,1,1900
1908,MESH,1,1900
1908,ARROW,4,1900
1908,BIRDS,1,1900
1908,HARBOUR,1,1900
1908,SHIPS,2,1900
1908,SAILING,1,1900
1908,STATUE,1,1900
1908,WOMAN,1,1900
1908,TRAIN,1,1900
1908,CROCODILE,1,1900
1908,DISC,1,1900
1908,BETWEEN,1,1900
1908,STEMS,1,1900
1908,RECTANGLE,1,1900
1908,SHELLS,1,1900
1908,WORD,1,1900
1908,BREAKS,1,1900
1908,FLAMES,1,1900
1908,SHAPE,1,1900
1908,TARGET,1,1900
1908,MOUNTAINS,2,1900
1908,TREES,2,1900
