UID,lat,lon,applicant_type,application_year
684,-35.109001,138.493,Large firm,2005
685,-37.839001,145.011,SME,2005
686,-37.931999,145.034,SME,2005
687,-37.835999,144.97501,SME,2005
688,-28.174999,153.41901,Private applicant,2005
689,-33.807999,151.004,SME,2005
690,-33.723999,151.08299,SME,2005
691,-27.434999,153.10899,SME,2005
692,-33.945,151.22501,Private applicant,2005
693,-33.945,151.22501,Private applicant,2005
694,-33.945,151.226,Private applicant,2005
695,-37.806999,144.974,SME,2005
696,-37.799999,144.95799,Large firm,2005
697,-37.799999,144.95799,Large firm,2005
698,-35.278999,149.146,Large firm,2005
699,-33.820999,151.19501,SME,2005
700,-19.257,146.81599,SME,2005
701,-32.188999,115.781,SME,2005
702,-34.865002,138.528,Private applicant,2005
703,-34.865002,138.528,Private applicant,2005
704,-27.466999,153.02699,Private applicant,2005
705,-35.277,149.118,Large firm,2005
706,-37.837002,144.97501,SME,2005
707,-32.002998,116.048,SME,2005
708,-33.880001,151.22099,SME,2005
709,-37.976002,145.114,SME,2005
710,-35.297001,149.14999,SME,2005
711,-33.800999,151.216,Private applicant,2005
712,-33.793999,151.16701,SME,2005
713,-37.816002,144.95599,SME,2005
714,-33.895,151.19501,SME,2005
715,-33.82,150.683,Private applicant,2005
716,-30.745001,121.477,SME,2005
717,-33.803001,151.134,Private applicant,2005
718,-34.839001,150.606,SME,2006
719,-38.016998,145.201,SME,2005
720,-27.485001,153.02699,SME,2005
721,-33.314999,151.41299,Private applicant,2005
722,-33.756001,151.181,Private applicant,2005
723,-35.278999,149.146,Large firm,2005
724,-37.811001,145.01401,Large firm,2005
